Player:Date:Value
Aaron Cresswell:2024-11-01:900000.0
Aaron Hickey:2024-11-01:28228000.0
Aaron Ramsdale:2024-11-01:25090000.0
Aaron Ramsey:2024-11-01:15000000.0
Aaron Wan-Bissaka:2024-11-01:20000000.0
Aaron Zehnter:2024-12-01:1342190.48
Aarón Martín:2024-12-01:5000000.0
Abdallah Sima:2024-11-01:7435333.33
Abde Ezzalzouli:2024-12-01:9460000.0
Abdelhamid Sabiri:2024-12-01:2208166.67
Abdou Diallo:2024-05-01:9104000.0
Abdou Harroui:2024-12-01:2700000.0
Abdoul Kader Bamba:2024-12-01:900000.0
Abdoulaye Bamba:2024-12-01:400000.0
Abdoulaye Doucouré:2024-11-01:10240000.0
Abdu Conté:2024-04-01:1581250.0
Abdul Mumin:2024-12-01:2440833.33
Abdón Prats:2024-12-01:1822333.33
Abner:2024-12-01:7000000.0
Aboubakary Koita:2024-12-01:5000000.0
Achraf Dari:2024-12-01:1950833.33
Achraf Hakimi:2024-12-01:60441666.67
Adam Armstrong:2024-11-01:16000000.0
Adam Buksa:2024-11-01:5988333.33
Adam Forshaw:2023-12-01:1242000.0
Adam Hlozek:2024-11-01:12115000.0
Adam Lallana:2024-11-01:1000000.0
Adam Marusic:2024-12-01:5000000.0
Adam Masina:2024-12-01:1500000.0
Adam Ounas:2024-12-01:4088333.33
Adam Smith:2024-11-01:1000000.0
Adam Webster:2024-11-01:20000000.0
Adama Soumaoro:2024-12-01:2081666.67
Adama Traoré:2024-11-01:9000000.0
Ademola Lookman:2024-12-01:39066666.67
Adil Aouchiche:2023-12-01:2259428.57
Adil Rami:2023-12-01:253071.43
Adnan Januzaj:2024-12-01:2086666.67
Ado Onaiwu:2024-12-01:1774000.0
Adolfo Gaich:2024-11-01:1698666.67
Adrian Grbic:2024-11-01:1200000.0
Adrien Hunou:2024-12-01:718666.67
Adrien Rabiot:2024-12-01:35475000.0
Adrien Tamèze:2024-12-01:5096666.67
Adrien Thomasson:2024-12-01:5070000.0
