index,Player,Goals,Shots,SoT,G/Sh,G/SoT,ShoDist,GCA,SCA,Off,PKwon,Assists,ScaPassLive,Car3rd,ScaFld,ToAtt,ToSuc,Carries,CarTotDist,CarPrgDist,CPA,CarMis,CarDis,PasTotCmp,PasAss,Pas3rd,Crs,PasCmp,PasOff,PasBlocks,ScaPassDead,ScaDrib,ScaSh,GcaPassDead,GcaDrib,GcaSh,GcaFld,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,Overall,PasTotDist,PasTotPrgDist,TklDriPast,Blocks,BlkSh,Int,Tkl+Int,Recov,AerWon,AerLost,CrdY,CrdR,Fls,Clr,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,GcaPassLive,PasTotCmp%,Fld,Pos
6,Phil Foden,1.0,0.24100000000000002,0.484,0.5,0.5,0.5482625482625483,1.0,0.8525179856115109,0.13,0.0,1.0,1.0,0.17200000000000001,0.08108108108108107,0.25,0.15833333333333333,0.46857142857142847,0.1943956043956044,0.12060606060606059,0.052000000000000005,0.198,0.095,0.8422459893048129,0.5705705705705706,0.6330275229357797,0.7148876404494382,0.8422459893048129,0.3063063063063063,0.07750000000000001,0.40625,0.0,0.20800000000000002,0.0,0.0,0.0,0.0,0.26683937823834203,0.24,0.25210084033613445,0.136,0.09890109890109888,0.2597402597402597,0.195,0.778,100.0,,,,,,,,,,,,,,,,,,,,,,,FWDF
19,Kaoru Mitoma,0.7142857142857142,0.18400000000000002,0.42800000000000005,0.52,0.45,0.4749034749034749,0.7435897435897435,0.6636690647482015,0.195,0.0,0.29411764705882354,0.7268041237113403,0.32000000000000006,0.17117117117117114,0.447,0.405,0.38999999999999996,0.2956043956043956,0.25257575757575756,0.262,0.262,0.063,0.5935828877005347,0.3783783783783784,0.4740061162079511,0.27247191011235955,0.5935828877005347,0.2612612612612612,0.068,0.0,0.5903614457831325,0.15200000000000002,0.0,1.0,0.5882352941176471,0.0,0.5544041450777203,0.584,0.36554621848739494,0.34800000000000003,0.42857142857142855,0.4199134199134199,0.3875,0.625,78.30135941796364,,,,,,,,,,,,,,,,,,,,,,,FWDF
15,Solly March,0.7142857142857142,0.23399999999999999,0.36000000000000004,0.22,0.28,0.6525096525096524,0.4487179487179486,0.7068345323741009,0.225,0.0,0.5882352941176471,0.693298969072165,0.17400000000000002,0.18018018018018017,0.328,0.24833333333333332,0.33,0.22846153846153847,0.1487878787878788,0.15400000000000003,0.18400000000000002,0.062,0.4919786096256685,0.4624624624624625,0.6238532110091742,0.6502808988764045,0.4919786096256685,0.04504504504504504,0.045000000000000005,0.1953125,0.48192771084337355,0.24,0.0,0.0,0.29411764705882354,0.0,0.38601036269430056,0.34,0.23109243697478993,0.16000000000000003,0.6043956043956044,0.06493506493506493,0.2125,0.17600000000000002,74.34569554512247,,,,,,,,,,,,,,,,,,,,,,,FWDF
14,Latasa,0.0,0.667,1.0,0.0,0.0,0.5019305019305019,0.0,0.4496402877697842,0.0,0.0,0.0,0.43041237113402064,0.083,0.0,0.25,0.1383333333333333,0.2142857142857143,0.0787912087912088,0.011363636363636364,0.0,0.41700000000000004,0.125,0.10962566844919786,0.0,0.764525993883792,0.0,0.10962566844919786,0.7477477477477477,0.0415,0.0,0.0,0.664,0.0,0.0,0.0,0.0,0.43264248704663216,0.332,0.3487394957983193,0.0,0.912087912087912,0.3593073593073593,0.2075,1.0,62.97908508155879,,,,,,,,,,,,,,,,,,,,,,,FWDF
25,Bobby Reid,0.5714285714285714,0.124,0.18000000000000002,0.32,0.44,0.5135135135135135,0.1923076923076923,0.36510791366906475,0.15,0.7142857142857143,0.14705882352941177,0.3195876288659794,0.144,0.31531531531531526,0.168,0.09,0.21571428571428575,0.12021978021978023,0.08712121212121213,0.059,0.21800000000000003,0.056999999999999995,0.3181818181818182,0.1921921921921922,0.4403669724770642,0.3061797752808989,0.3181818181818182,0.18018018018018017,0.0745,0.0390625,0.12048192771084339,0.16000000000000003,0.0,0.0,0.29411764705882354,0.0,0.39637305699481873,0.376,0.18907563025210083,0.2,0.6483516483516483,0.2554112554112554,0.2975,0.5,53.38034813924095,,,,,,,,,,,,,,,,,,,,,,,FWDF
1,Ihlas Bebou,0.2857142857142857,0.23500000000000001,0.588,0.5,0.4,0.3938223938223938,0.0,0.3705035971223022,0.295,0.0,0.0,0.5309278350515465,0.08800000000000001,0.0,0.353,0.14666666666666667,0.13428571428571429,0.11824175824175824,0.06454545454545454,0.118,0.41200000000000003,0.10300000000000001,0.0,0.17717717717717718,0.36085626911314983,0.08286516853932585,0.0,0.2612612612612612,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227979274611399,0.35200000000000004,0.12184873949579832,0.236,0.0,0.0,0.0725,0.0,52.60666000841887,,,,,,,,,,,,,,,,,,,,,,,FWDF
29,Edon Zhegrova,0.14285714285714285,0.42900000000000005,0.508,0.08,0.13,0.7335907335907336,0.8076923076923076,1.0,0.16,0.0,0.9411764705882353,0.8582474226804124,0.44400000000000006,0.14414414414414414,0.6980000000000001,0.5033333333333333,0.5800000000000001,0.40692307692307694,0.3006060606060606,0.317,0.238,0.0635,0.6550802139037433,0.6186186186186187,0.437308868501529,0.7359550561797754,0.6550802139037433,0.2882882882882883,0.11100000000000002,0.6171875,0.5783132530120482,0.384,0.0,0.0,0.9411764705882353,0.0,0.5336787564766841,0.572,0.2647058823529412,0.31600000000000006,0.6923076923076922,0.6190476190476191,0.555,0.643,51.2651271532628,,,,,,,,,,,,,,,,,,,,,,,FWDF
11,Silas Katompa,0.42857142857142855,0.18000000000000002,0.30000000000000004,0.16,0.2,0.667953667953668,0.3846153846153846,0.5539568345323742,0.375,0.5714285714285714,0.4411764705882352,0.46391752577319595,0.165,0.2072072072072072,0.44400000000000006,0.32499999999999996,0.14,0.1653846153846154,0.11575757575757577,0.18000000000000002,0.30800000000000005,0.1055,0.02941176470588236,0.29429429429429427,0.3211009174311927,0.22191011235955058,0.02941176470588236,0.07207207207207207,0.034,0.0,0.7228915662650602,0.36000000000000004,0.0,0.8,0.0,0.16,0.3316062176165804,0.36000000000000004,0.12605042016806722,0.272,0.3296703296703296,0.1645021645021645,0.245,0.385,51.21324438977199,,,,,,,,,,,,,,,,,,,,,,,FWDF
23,Yussuf Poulsen,0.14285714285714285,0.2,0.6000000000000001,0.5,0.33,0.48648648648648646,0.641025641025641,0.4496402877697842,0.25,0.0,0.0,0.38659793814432997,0.05,0.4504504504504504,0.05,0.08333333333333333,0.22142857142857142,0.11978021978021978,0.09166666666666666,0.0,0.65,0.07500000000000001,0.03743315508021394,0.3003003003003003,0.1529051987767584,0.0,0.03743315508021394,0.4504504504504504,0.05,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.1295336787564767,0.0,0.0,0.2,0.0,0.0,0.125,0.0,43.96941747498811,,,,,,,,,,,,,,,,,,,,,,,FWDF
18,Junior Messias,0.2857142857142857,0.17300000000000001,0.284,0.24,0.29,0.6602316602316602,0.6538461538461539,0.5881294964028778,0.05,0.0,0.5882352941176471,0.5257731958762887,0.21400000000000002,0.3693693693693693,0.327,0.22166666666666668,0.22285714285714286,0.17197802197802198,0.13515151515151516,0.082,0.17300000000000001,0.046000000000000006,0.2754010695187165,0.24624624624624625,0.5932721712538226,0.2008426966292135,0.2754010695187165,0.09009009009009009,0.0355,0.0,0.49397590361445787,0.328,0.0,1.0,0.0,0.0,0.3160621761658031,0.36800000000000005,0.13025210084033614,0.20400000000000001,0.45054945054945045,0.22077922077922077,0.255,0.5,41.11709488992016,,,,,,,,,,,,,,,,,,,,,,,FWDF
